date_time,price_usd
2012-11-01,156.463909575946
2012-11-02,142.003488875705
2012-11-03,168.954726732417
2012-11-04,150.588043592194
2012-11-05,150.981765217621
2012-11-06,156.685517138599
2012-11-07,546.877430161785
2012-11-08,162.537572527043
2012-11-09,150.386807857766
2012-11-10,147.714642319422
2012-11-11,270.06087831923
2012-11-12,152.561455638411
2012-11-13,158.448092063825
2012-11-14,151.542902445727
2012-11-15,474.267958440563
2012-11-16,150.978792241488
2012-11-17,150.467000752684
2012-11-18,148.679975851983
2012-11-19,353.544812533401
2012-11-20,159.723275701803
2012-11-21,163.644118357488
2012-11-22,931.367190366117
2012-11-23,152.915200489179
2012-11-24,154.873830177153
2012-11-25,257.408438558974
2012-11-26,301.221647582907
2012-11-27,155.94843927757
2012-11-28,181.150505341654
2012-11-29,213.291686350725
2012-11-30,234.961874523265
2012-12-01,470.702240737608
2012-12-02,150.575400618404
2012-12-03,152.529642645873
2012-12-04,1509.38655498257
2012-12-05,151.006221927593
2012-12-06,150.619616362866
2012-12-07,185.217930047589
2012-12-08,158.69435904801
2012-12-09,151.505745893396
2012-12-10,148.839223295236
2012-12-11,153.004305951506
2012-12-12,145.770486907714
2012-12-13,141.778602230735
2012-12-14,140.610568228245
2012-12-15,169.963027786103
2012-12-16,150.652991786162
2012-12-17,152.248292090688
2012-12-18,151.859738991531
2012-12-19,605.718008268032
2012-12-20,147.453920389289
2012-12-21,321.415130890052
2012-12-22,310.189684860299
2012-12-23,470.919221291673
2012-12-24,149.69147580876
2012-12-25,146.276463645166
2012-12-26,158.92220014558
2012-12-27,153.17286913752
2012-12-28,151.992134216054
2012-12-29,153.183853868689
2012-12-30,164.844772600705
2012-12-31,194.207961176289
2013-01-01,151.725477739979
2013-01-02,248.980172886519
2013-01-03,158.740050535375
2013-01-04,170.620880233174
2013-01-05,152.841254528687
2013-01-06,157.404584261426
2013-01-07,158.33069788734
2013-01-08,152.59813679085
2013-01-09,156.356060931742
2013-01-10,154.601782332914
2013-01-11,154.816509096564
2013-01-12,167.142700835942
2013-01-13,163.899298643103
2013-01-14,289.976228718936
2013-01-15,233.797932393286
2013-01-16,154.839066527263
2013-01-17,153.131601701599
2013-01-18,153.438645822911
2013-01-19,155.619141150346
2013-01-20,164.261258061106
2013-01-21,157.163022445027
2013-01-22,317.564975316846
2013-01-23,177.998173392928
2013-01-24,154.928965752168
2013-01-25,161.335749684162
2013-01-26,154.363552815263
2013-01-27,231.802029130035
2013-01-28,161.839982285423
2013-01-29,201.868764408401
2013-01-30,154.704710947693
2013-01-31,162.131983366868
2013-02-01,156.325321960876
2013-02-02,153.379074455728
2013-02-03,155.185889326776
2013-02-04,151.388223906135
2013-02-05,208.165840244213
2013-02-06,320.427732173998
2013-02-07,163.633551935736
2013-02-08,156.024041599552
2013-02-09,154.338252188947
2013-02-10,1525.10203614597
2013-02-11,159.953269506047
2013-02-12,179.498688249499
2013-02-13,169.715664068276
2013-02-14,259.33401525978
2013-02-15,158.670268678095
2013-02-16,159.175487199509
2013-02-17,228.319050800775
2013-02-18,163.470166438716
2013-02-19,349.003694300296
2013-02-20,184.06043573982
2013-02-21,163.314400186505
2013-02-22,242.368345440457
2013-02-23,262.540419503686
2013-02-24,288.213644736842
2013-02-25,157.217919124367
2013-02-26,156.872197389522
2013-02-27,163.170455441883
2013-02-28,164.409128757848
2013-03-01,154.1518974122
2013-03-02,151.457276662518
2013-03-03,160.040708027164
2013-03-04,172.591777806916
2013-03-05,158.584870387088
2013-03-06,158.757305626081
2013-03-07,309.758117338176
2013-03-08,160.124446621853
2013-03-09,157.377169821213
2013-03-10,244.02318707991
2013-03-11,220.136697011336
2013-03-12,170.476809464955
2013-03-13,154.137028490207
2013-03-14,285.273215055338
2013-03-15,164.074261581131
2013-03-16,160.669855032521
2013-03-17,248.632962368855
2013-03-18,155.670018202238
2013-03-19,172.414481185626
2013-03-20,149.109315306082
2013-03-21,153.350154469373
2013-03-22,471.582906665392
2013-03-23,154.897435742365
2013-03-24,158.334161342028
2013-03-25,250.853553404914
2013-03-26,437.461352463088
2013-03-27,281.25493700854
2013-03-28,305.092197115704
2013-03-29,248.02790026178
2013-03-30,404.243311614828
2013-03-31,152.622007168459
2013-04-01,154.143305567911
2013-04-02,159.162198532738
2013-04-03,156.045401780508
2013-04-04,181.824161502587
2013-04-05,153.722795529445
2013-04-06,160.629130434783
2013-04-07,166.365524912805
2013-04-08,164.824936892376
2013-04-09,163.682976920527
2013-04-10,160.851960913576
2013-04-11,178.537165138839
2013-04-12,1679.36402548407
2013-04-13,161.601052323197
2013-04-14,169.476517506673
2013-04-15,234.536364417317
2013-04-16,171.620883950404
2013-04-17,180.004720813238
2013-04-18,158.996303192091
2013-04-19,1102.99945304359
2013-04-20,257.807869063304
2013-04-21,161.635800964959
2013-04-22,159.610935575943
2013-04-23,172.545933075633
2013-04-24,170.197248086466
2013-04-25,295.866428058477
2013-04-26,156.49078531621
2013-04-27,181.792924180397
2013-04-28,175.997695126917
2013-04-29,160.172268269665
2013-04-30,218.584956269447
2013-05-01,156.64829409081
2013-05-02,155.832828778822
2013-05-03,302.536942683442
2013-05-04,157.463981601084
2013-05-05,1045.93493903854
2013-05-06,161.557658451059
2013-05-07,155.914138676746
2013-05-08,161.290574826153
2013-05-09,264.225464017548
2013-05-10,369.078337755077
2013-05-11,155.463619431703
2013-05-12,165.834460636781
2013-05-13,315.192691098688
2013-05-14,158.422555922259
2013-05-15,156.651079472766
2013-05-16,303.336015520694
2013-05-17,280.344739235274
2013-05-18,211.216833813869
2013-05-19,183.190949396364
2013-05-20,173.062245392643
2013-05-21,155.588898753562
2013-05-22,166.211018784242
2013-05-23,156.431372085235
2013-05-24,156.792731107602
2013-05-25,155.12206047799
2013-05-26,176.404113342548
2013-05-27,161.079782444315
2013-05-28,196.677204752694
2013-05-29,227.768931400214
2013-05-30,219.890997126204
2013-05-31,153.30390503876
2013-06-01,157.771311452357
2013-06-02,1437.42408784543
2013-06-03,160.857755004328
2013-06-04,168.347471890275
2013-06-05,170.209416542501
2013-06-06,156.880817340119
2013-06-07,166.277147685103
2013-06-08,152.0647281646
2013-06-09,226.846214363464
2013-06-10,219.874491615483
2013-06-11,236.46693868309
2013-06-12,240.893347659024
2013-06-13,170.57394109098
2013-06-14,636.384920944289
2013-06-15,341.086009011077
2013-06-16,264.238554388545
2013-06-17,1656.33353711276
2013-06-18,161.969230553609
2013-06-19,222.200152384104
2013-06-20,161.824329045288
2013-06-21,154.754185053797
2013-06-22,157.540569484061
2013-06-23,165.762098029577
2013-06-24,160.427234362314
2013-06-25,1296.24663644116
2013-06-26,158.134201330837
2013-06-27,174.869304982164
2013-06-28,152.161567591277
2013-06-29,170.686809888656
2013-06-30,158.258574873183
