date_time,srch_length_of_stay
2012-11-01,2.2910854221086
2012-11-02,2.25722337585286
2012-11-03,2.35419268702356
2012-11-04,2.50248173382249
2012-11-05,2.3858645506551
2012-11-06,2.26641376507248
2012-11-07,2.22558913801176
2012-11-08,2.3081193796429
2012-11-09,2.27180289401643
2012-11-10,2.22151874300274
2012-11-11,2.38507927244431
2012-11-12,2.29115304621316
2012-11-13,2.26068129330254
2012-11-14,2.19109645507007
2012-11-15,2.32182554892405
2012-11-16,2.29622832552841
2012-11-17,2.4862734223349
2012-11-18,2.46887966804979
2012-11-19,2.32762354794251
2012-11-20,2.36947919156508
2012-11-21,2.34140450100153
2012-11-22,2.31515174110805
2012-11-23,2.36484583456863
2012-11-24,2.37992262268377
2012-11-25,2.44803421615397
2012-11-26,2.4498927569708
2012-11-27,2.38745445490052
2012-11-28,2.46059868838587
2012-11-29,2.32668560322918
2012-11-30,2.29548054919908
2012-12-01,2.31788191507359
2012-12-02,2.46071116488539
2012-12-03,2.32844850766335
2012-12-04,2.31393506381262
2012-12-05,2.33787001461118
2012-12-06,2.3217465027554
2012-12-07,2.26972611401378
2012-12-08,2.38982355354945
2012-12-09,2.4185719074757
2012-12-10,2.37532854906825
2012-12-11,2.24881704628949
2012-12-12,2.23773194190894
2012-12-13,2.20975014408245
2012-12-14,2.32769304099142
2012-12-15,2.27747570321531
2012-12-16,2.49289990254768
2012-12-17,2.27310179248629
2012-12-18,2.2254739443624
2012-12-19,2.36296044918862
2012-12-20,2.25046847609261
2012-12-21,2.22817985833077
2012-12-22,2.29930149447693
2012-12-23,2.28921726526011
2012-12-24,2.26314533829564
2012-12-25,2.23505002535848
2012-12-26,2.19820451298089
2012-12-27,2.32243640699523
2012-12-28,2.23346893196139
2012-12-29,2.20196450112011
2012-12-30,2.35369098446878
2012-12-31,2.3782031491201
2013-01-01,2.66510131637332
2013-01-02,2.55864432597106
2013-01-03,2.55403782647854
2013-01-04,2.52013778484367
2013-01-05,2.69231275937027
2013-01-06,2.81427806129642
2013-01-07,2.52406784316418
2013-01-08,2.64787679764466
2013-01-09,2.54709159501667
2013-01-10,2.49554591670165
2013-01-11,2.54675270823615
2013-01-12,2.52657909176
2013-01-13,2.72806686302646
2013-01-14,2.60357296511032
2013-01-15,2.53252534719264
2013-01-16,2.45400822783372
2013-01-17,2.35224529789929
2013-01-18,2.4732116058029
2013-01-19,2.48381446845776
2013-01-20,2.67092187334813
2013-01-21,2.49199042953173
2013-01-22,2.55285517634215
2013-01-23,2.52826344156698
2013-01-24,2.48497235542279
2013-01-25,2.39821408062478
2013-01-26,2.61696470118992
2013-01-27,2.60356908542186
2013-01-28,2.53633914921498
2013-01-29,2.53576472732243
2013-01-30,2.41280986834302
2013-01-31,2.41167002012072
2013-02-01,2.3017291569632
2013-02-02,2.36572113763256
2013-02-03,2.62205647656581
2013-02-04,2.4429234905891
2013-02-05,2.44525566013737
2013-02-06,2.31306953552919
2013-02-07,2.27622447841125
2013-02-08,2.38742208838154
2013-02-09,2.42047292398639
2013-02-10,2.4904570047197
2013-02-11,2.4181689936311
2013-02-12,2.42585847010191
2013-02-13,2.39218792910408
2013-02-14,2.32372532396754
2013-02-15,2.26378043709282
2013-02-16,2.45928384182051
2013-02-17,2.5130827297766
2013-02-18,2.46663861125723
2013-02-19,2.39445468971137
2013-02-20,2.47626209782893
2013-02-21,2.38222429450032
2013-02-22,2.39667780522059
2013-02-23,2.39277474537167
2013-02-24,2.64412955465587
2013-02-25,2.40701586774113
2013-02-26,2.46107626413333
2013-02-27,2.50236246353589
2013-02-28,2.30645610576614
2013-03-01,2.37111829944547
2013-03-02,2.41245062496618
2013-03-03,2.58499539407442
2013-03-04,2.36728730378751
2013-03-05,2.39303940895775
2013-03-06,2.41984030614122
2013-03-07,2.29739226562963
2013-03-08,2.32901902700239
2013-03-09,2.52451108897394
2013-03-10,2.36421769977595
2013-03-11,2.41383258903012
2013-03-12,2.34108125348856
2013-03-13,2.38446102715244
2013-03-14,2.41590476389732
2013-03-15,2.35312994246682
2013-03-16,2.38730569948187
2013-03-17,2.45465186855111
2013-03-18,2.36038495797994
2013-03-19,2.44029558073771
2013-03-20,2.32090346485869
2013-03-21,2.43398326210826
2013-03-22,2.32473462752223
2013-03-23,2.50072848228276
2013-03-24,2.48912017214501
2013-03-25,2.41839214138855
2013-03-26,2.35125091906285
2013-03-27,2.3856641582819
2013-03-28,2.28450853990829
2013-03-29,2.29421465968586
2013-03-30,2.38246287850211
2013-03-31,2.39292478946295
2013-04-01,2.35053172132142
2013-04-02,2.33693920500364
2013-04-03,2.40283015200404
2013-04-04,2.45948593453864
2013-04-05,2.33175717629078
2013-04-06,2.41827262044653
2013-04-07,2.42132536123568
2013-04-08,2.42957956677469
2013-04-09,2.42498135410624
2013-04-10,2.37876403538619
2013-04-11,2.2311543253827
2013-04-12,2.29643972517177
2013-04-13,2.36040311712662
2013-04-14,2.473936253729
2013-04-15,2.37413812591839
2013-04-16,2.38223010841105
2013-04-17,2.3270206219857
2013-04-18,2.28099902721535
2013-04-19,2.3247426610751
2013-04-20,2.35212372168894
2013-04-21,2.40635508553048
2013-04-22,2.36892966360856
2013-04-23,2.41530830849478
2013-04-24,2.34058793843048
2013-04-25,2.29374198512439
2013-04-26,2.35124787981585
2013-04-27,2.35429847413472
2013-04-28,2.47663906610561
2013-04-29,2.34639530589635
2013-04-30,2.30428475317467
2013-05-01,2.37958463094837
2013-05-02,2.2663535439795
2013-05-03,2.31554992034852
2013-05-04,2.41287294036105
2013-05-05,2.33030029642995
2013-05-06,2.40934281856472
2013-05-07,2.43594139650873
2013-05-08,2.34580092992635
2013-05-09,2.4054458786805
2013-05-10,2.38702238972503
2013-05-11,2.39953206292522
2013-05-12,2.44896773852896
2013-05-13,2.43147552092157
2013-05-14,2.32271930896793
2013-05-15,2.35092072106997
2013-05-16,2.34402119492657
2013-05-17,2.41391663796073
2013-05-18,2.37865231994769
2013-05-19,2.41704056616865
2013-05-20,2.36179779438976
2013-05-21,2.4353616221141
2013-05-22,2.35850322388282
2013-05-23,2.31946246912547
2013-05-24,2.20387999097677
2013-05-25,2.45432899788684
2013-05-26,2.45946824945118
2013-05-27,2.4081923650269
2013-05-28,2.30647508519849
2013-05-29,2.39060036975771
2013-05-30,2.38344936452684
2013-05-31,2.38997533474278
2013-06-01,2.40327933400832
2013-06-02,2.45524601213211
2013-06-03,2.3829438520892
2013-06-04,2.32081327708291
2013-06-05,2.32966893193299
2013-06-06,2.24074641813314
2013-06-07,2.32622813217883
2013-06-08,2.41207248943998
2013-06-09,2.46006160402047
2013-06-10,2.387200778112
2013-06-11,2.43026899737343
2013-06-12,2.4034745870741
2013-06-13,2.35661273132448
2013-06-14,2.27682638402242
2013-06-15,2.45913447741491
2013-06-16,2.38178851324952
2013-06-17,2.33548723644135
2013-06-18,2.35134898388227
2013-06-19,2.24138818425793
2013-06-20,2.26654415109445
2013-06-21,2.35118119444878
2013-06-22,2.46041635390082
2013-06-23,2.42568923845807
2013-06-24,2.44010088272383
2013-06-25,2.3762291800825
2013-06-26,2.34215542031699
2013-06-27,2.31061365184977
2013-06-28,2.27226585345476
2013-06-29,2.38515599162165
