date_time,srch_query_affinity_score
2012-11-01,-1.55651170177291
2012-11-02,-1.54693328389202
2012-11-03,-1.09649782075025
2012-11-04,-1.38190121774517
2012-11-05,-1.13753734215591
2012-11-06,-1.20504468771169
2012-11-07,-1.21026913593092
2012-11-08,-1.34083068682393
2012-11-09,-1.57430268944978
2012-11-10,-1.42358022236807
2012-11-11,-1.9964734429206
2012-11-12,-1.70216218485264
2012-11-13,-1.74507702603401
2012-11-14,-1.67364810112668
2012-11-15,-1.24218075069813
2012-11-16,-1.06861243513479
2012-11-17,-1.47755727924573
2012-11-18,-1.3206526460785
2012-11-19,-0.913441552049054
2012-11-20,-1.3371071309059
2012-11-21,-1.23873309473312
2012-11-22,-0.89590954813213
2012-11-23,-1.11492123851171
2012-11-24,-1.41250307880269
2012-11-25,-1.26759496627735
2012-11-26,-1.07492249463785
2012-11-27,-1.16749378227476
2012-11-28,-0.852556573936958
2012-11-29,-1.06204346240096
2012-11-30,-1.02739359903382
2012-12-01,-0.814114071223143
2012-12-02,-1.31312195335081
2012-12-03,-1.14845095993547
2012-12-04,-1.30661312552217
2012-12-05,-1.6689528545917
2012-12-06,-0.975103030945316
2012-12-07,-0.985760311491231
2012-12-08,-1.07411872384079
2012-12-09,-1.37814027489105
2012-12-10,-1.22559487611116
2012-12-11,-1.39679078912564
2012-12-12,-0.987653445410207
2012-12-13,-1.32381208936502
2012-12-14,-0.833258511507558
2012-12-15,-1.12630223059468
2012-12-16,-1.18505566267576
2012-12-17,-1.20186404659919
2012-12-18,-1.29744158353175
2012-12-19,-0.929494743012279
2012-12-20,-1.47163080154748
2012-12-21,-1.11507969818294
2012-12-22,-1.23193841780377
2012-12-23,-0.88890882589789
2012-12-24,-1.05585381238668
2012-12-25,-0.723194642445479
2012-12-26,-1.6209653519532
2012-12-27,-1.45186746075119
2012-12-28,-1.10413279359762
2012-12-29,-1.73705785283474
2012-12-30,-1.49055994678547
2012-12-31,-1.72064864155604
2013-01-01,-1.102242401272
2013-01-02,-1.45464921045951
2013-01-03,-1.26699628990293
2013-01-04,-1.38808379968203
2013-01-05,-1.18430086292076
2013-01-06,-1.35678079905264
2013-01-07,-1.03818894458559
2013-01-08,-1.44835759257162
2013-01-09,-1.27567687532901
2013-01-10,-1.11840092812835
2013-01-11,-1.39336839786451
2013-01-12,-1.91137618048607
2013-01-13,-1.44834523827505
2013-01-14,-1.33185797053943
