date_time,comp7_rate
2012-11-01,0.0124770744178292
2012-11-02,0.0108276475823198
2012-11-03,0.0102071579310048
2012-11-04,0.0112834109196288
2012-11-05,0.00798776790657211
2012-11-06,0.0126270153095786
2012-11-07,0.0112885605784737
2012-11-08,0.0097224032321126
2012-11-09,0.00923558256370145
2012-11-10,0.0127784426514303
2012-11-11,0.0133903965243329
2012-11-12,0.00705118449753969
2012-11-13,0.00818811673315138
2012-11-14,0.00733718054410552
2012-11-15,0.00867874938400044
2012-11-16,0.00715099354512087
2012-11-17,0.00891336212019174
2012-11-18,0.0123120876130875
2012-11-19,0.00843810648890389
2012-11-20,0.00871112527554245
2012-11-21,0.0095145516672558
2012-11-22,0.015733353217508
2012-11-23,0.00982063445004447
2012-11-24,0.00879657910812462
2012-11-25,0.0107583484125679
2012-11-26,0.00768850024748391
2012-11-27,0.00980366457836378
2012-11-28,0.0121906071504125
2012-11-29,0.0116011361937509
2012-11-30,0.00978896516653954
2012-12-01,0.0127305024530536
2012-12-02,0.0125697385225516
2012-12-03,0.0115353589674644
2012-12-04,0.0148367952522255
2012-12-05,0.0132041777152443
2012-12-06,0.0101435232846848
2012-12-07,0.0107823887650171
2012-12-08,0.013910545752975
2012-12-09,0.0129735165940329
2012-12-10,0.0116948702046602
2012-12-11,0.00996326230712711
2012-12-12,0.0101359635977221
2012-12-13,0.0106112486015527
2012-12-14,0.0130055835489582
2012-12-15,0.00792053774029199
2012-12-16,0.0108937769734094
2012-12-17,0.0136960139688429
2012-12-18,0.00907200337562916
2012-12-19,0.010705250817548
2012-12-20,0.00952064317233875
2012-12-21,0.011210348013551
2012-12-22,0.0102745289148798
2012-12-23,0.01385086165244
2012-12-24,0.00968603874415498
2012-12-25,0.00889851998709023
2012-12-26,0.00754859407435365
2012-12-27,0.00946442766295708
2012-12-28,0.00965143176198453
2012-12-29,0.00647940720317077
2012-12-30,0.00816781139780954
2012-12-31,-7.71843161469589e-05
2013-01-01,0.00783907705960657
2013-01-02,0.00886011678090886
2013-01-03,0.00923146202341639
2013-01-04,0.00932697403285639
2013-01-05,0.00793755352084843
2013-01-06,0.00879690980347929
