date_time,orig_destination_distance
2012-11-01,818.050999833269
2012-11-02,801.471822011273
2012-11-03,823.00486368922
2012-11-04,834.030599315596
2012-11-05,839.249878206311
2012-11-06,849.05798780653
2012-11-07,748.783031524736
2012-11-08,761.058265085364
2012-11-09,760.529628170031
2012-11-10,742.291621047755
2012-11-11,869.762241027137
2012-11-12,826.320490792878
2012-11-13,808.25800178459
2012-11-14,825.643425391591
2012-11-15,838.513934457647
2012-11-16,726.699111188457
2012-11-17,986.861171413857
2012-11-18,817.262177062785
2012-11-19,868.752001518859
2012-11-20,863.874265529971
2012-11-21,812.756676387416
2012-11-22,882.346817537842
2012-11-23,812.407386599466
2012-11-24,864.089263693749
2012-11-25,912.071485112683
2012-11-26,932.809243359182
2012-11-27,906.641511179847
2012-11-28,899.36645943516
2012-11-29,820.594351323068
2012-11-30,820.474979659293
2012-12-01,870.230790052445
2012-12-02,782.701164213215
2012-12-03,819.923760419468
2012-12-04,813.007982483939
2012-12-05,839.179265382326
2012-12-06,718.376112456852
2012-12-07,888.112702585777
2012-12-08,890.573146491588
2012-12-09,852.354782433791
2012-12-10,871.343659076814
2012-12-11,872.964315356356
2012-12-12,856.89030435138
2012-12-13,836.830462419907
2012-12-14,785.902320577421
2012-12-15,876.520048379501
2012-12-16,790.924503341222
2012-12-17,825.344820614956
2012-12-18,759.965516139727
2012-12-19,769.213578083544
2012-12-20,830.402418243366
2012-12-21,770.931618724977
2012-12-22,711.548512426901
2012-12-23,809.283881462393
2012-12-24,675.490151732036
2012-12-25,690.187753700032
2012-12-26,667.262041625104
2012-12-27,698.923428308824
2012-12-28,716.341426178512
2012-12-29,732.054229191797
2012-12-30,840.350565559062
2012-12-31,732.405413322013
2013-01-01,864.168235468126
2013-01-02,811.887940594059
2013-01-03,903.770232662864
2013-01-04,921.441114202438
2013-01-05,971.300861932679
2013-01-06,917.014923168015
2013-01-07,959.919941861796
2013-01-08,959.781175404824
2013-01-09,924.92272240744
2013-01-10,868.360315983396
2013-01-11,955.085269009485
2013-01-12,981.393788529193
2013-01-13,937.827248697228
2013-01-14,884.10612402942
2013-01-15,890.97810258158
2013-01-16,826.215013750938
2013-01-17,936.559637932271
2013-01-18,878.042221110555
2013-01-19,993.975076158008
2013-01-20,1018.62685696162
2013-01-21,889.772788652159
2013-01-22,1064.00245692315
2013-01-23,905.034770167828
2013-01-24,859.852830752299
2013-01-25,933.107403238773
2013-01-26,892.597771388686
2013-01-27,1010.22573677995
2013-01-28,909.902634618651
2013-01-29,947.649516151077
2013-01-30,909.256091804056
2013-01-31,917.165779208585
2013-02-01,889.060448882161
2013-02-02,995.549606550006
2013-02-03,1068.24531348728
2013-02-04,880.646440234661
2013-02-05,855.405434240651
2013-02-06,827.40507135313
2013-02-07,862.942063371639
2013-02-08,789.361014076616
2013-02-09,931.909572806871
2013-02-10,926.783886497065
2013-02-11,838.875305893824
2013-02-12,859.558961036303
2013-02-13,868.009087394638
2013-02-14,857.665502967179
2013-02-15,826.645574319641
2013-02-16,880.875521501478
2013-02-17,965.432348515761
2013-02-18,981.988366543924
2013-02-19,951.591480250461
2013-02-20,875.042846368471
2013-02-21,875.862576877817
