date_time,prop_log_historical_price
2012-11-01,5.01307591841272
2012-11-02,4.98761020468704
2012-11-03,5.0369938412507
2012-11-04,5.0317754416253
2012-11-05,5.02041494213482
2012-11-06,5.023173824685
2012-11-07,5.04259766945846
2012-11-08,5.02364785611886
2012-11-09,5.00930958755753
2012-11-10,5.03321738794734
2012-11-11,5.03030671465162
2012-11-12,5.02699969563232
2012-11-13,5.04591696409826
2012-11-14,5.01986369881836
2012-11-15,5.01597464819581
2012-11-16,5.02837140868245
2012-11-17,5.06267083944064
2012-11-18,5.03766512482144
2012-11-19,5.0544373189323
2012-11-20,5.05189174833347
2012-11-21,5.0520740544362
2012-11-22,5.05721422712698
2012-11-23,5.025946486807
2012-11-24,5.04518672368153
2012-11-25,5.03499884849482
2012-11-26,5.0601887477314
2012-11-27,5.05238957770846
2012-11-28,5.06788607996615
2012-11-29,5.03710689191209
2012-11-30,5.02413202390033
2012-12-01,5.04733251564879
2012-12-02,5.04167540498756
2012-12-03,5.0263901586448
2012-12-04,5.01769467892023
2012-12-05,5.04395421830186
2012-12-06,5.02377520741234
2012-12-07,5.02445472395088
2012-12-08,5.04563356585966
2012-12-09,5.0534666443178
2012-12-10,5.03777620271108
2012-12-11,5.03718736223365
2012-12-12,5.04340780905152
2012-12-13,5.01139912533478
2012-12-14,5.02732057742067
2012-12-15,5.01507813503447
2012-12-16,5.05590665460114
2012-12-17,5.01131967369656
2012-12-18,5.02359263389493
2012-12-19,5.01649688406244
2012-12-20,5.03505198573415
2012-12-21,5.01895133969818
2012-12-22,5.04600714749838
2012-12-23,5.03146722499597
2012-12-24,5.03839488500811
2012-12-25,5.02726681728065
2012-12-26,5.0174736473189
2012-12-27,5.02270096383148
2012-12-28,5.02296349472229
2012-12-29,4.99993692917456
2012-12-30,5.00740486356042
2012-12-31,5.00182000617475
2013-01-01,5.05337561011685
2013-01-02,5.05427824320894
2013-01-03,5.04931026718703
2013-01-04,5.04938420773715
2013-01-05,5.04594855411369
2013-01-06,5.05219979135534
2013-01-07,5.05569639955137
2013-01-08,5.05836462461782
2013-01-09,5.07459707843481
2013-01-10,5.05098619467376
2013-01-11,5.05725133468097
2013-01-12,5.04764419197624
2013-01-13,5.05673287516049
2013-01-14,5.05483989264715
2013-01-15,5.05433138791855
2013-01-16,5.0341977862127
2013-01-17,5.04046339889587
2013-01-18,5.02992246123062
2013-01-19,5.05355581271698
2013-01-20,5.05240775980548
2013-01-21,5.0673544491284
2013-01-22,5.05670432429867
2013-01-23,5.05762105078656
2013-01-24,5.03904829284909
2013-01-25,5.04372401516022
2013-01-26,5.04363458086818
2013-01-27,5.0903758037003
2013-01-28,5.0423135722779
2013-01-29,5.0447093261652
2013-01-30,5.05126533032855
2013-01-31,5.05124292421194
2013-02-01,5.04838815789474
2013-02-02,5.05423502079664
2013-02-03,5.04514933394131
2013-02-04,5.01841041310193
