date_time,position
2012-11-01,16.809842716612
2012-11-02,16.8958172649066
2012-11-03,16.6864206038158
2012-11-04,16.9588432962358
2012-11-05,16.8603590541217
2012-11-06,16.9837962335727
2012-11-07,16.9530250221089
2012-11-08,16.9200312785091
2012-11-09,16.9510544207455
2012-11-10,17.0323514650813
2012-11-11,16.9182634633466
2012-11-12,16.8751838888043
2012-11-13,16.8469714465673
2012-11-14,16.9284418796373
2012-11-15,17.0963697092482
2012-11-16,16.9078281230224
2012-11-17,16.9375272352731
2012-11-18,16.8490578872186
2012-11-19,17.0605293505471
2012-11-20,16.9939181472924
2012-11-21,17.0167314716625
2012-11-22,16.7968831556185
2012-11-23,16.8584716869256
2012-11-24,17.1546731826512
2012-11-25,17.07662444481
2012-11-26,16.8577132486388
2012-11-27,17.2199271278408
2012-11-28,17.1332769198223
2012-11-29,16.8466437434594
2012-11-30,17.2244152046784
2012-12-01,17.042167145999
2012-12-02,17.0020165355919
2012-12-03,16.9422425383168
2012-12-04,16.9949871798565
2012-12-05,17.230613128416
2012-12-06,17.2273965966208
2012-12-07,16.9702153149855
2012-12-08,17.1527287648748
2012-12-09,17.1073416024137
2012-12-10,17.1493458551136
2012-12-11,17.1079500367377
2012-12-12,17.2049807907141
2012-12-13,17.1132318540869
2012-12-14,17.3208497889146
2012-12-15,16.963180202937
2012-12-16,17.0231449255186
2012-12-17,17.1638337925954
2012-12-18,17.2610084692125
2012-12-19,17.1206577404825
2012-12-20,17.295502629511
2012-12-21,17.1296889436403
2012-12-22,17.0071068875893
2012-12-23,17.086527621195
2012-12-24,16.9069090562077
2012-12-25,16.9940983908894
2012-12-26,17.1352546302537
2012-12-27,16.9808227344992
2012-12-28,17.0441094360692
2012-12-29,17.0214027227296
2012-12-30,17.0439948023018
2012-12-31,16.9788514973757
2013-01-01,17.0209658334566
2013-01-02,17.2126428027418
2013-01-03,17.1102521765236
2013-01-04,17.1352146263911
2013-01-05,17.168104867927
2013-01-06,17.0091352524882
2013-01-07,17.2879672228707
2013-01-08,17.0779300192504
2013-01-09,17.1532286366029
2013-01-10,17.1466582715358
2013-01-11,17.0776188254807
2013-01-12,17.025336474841
2013-01-13,17.090728293432
2013-01-14,17.1146872631169
2013-01-15,17.0794922041408
2013-01-16,16.9871809441553
2013-01-17,17.047988910929
2013-01-18,16.9023011505753
2013-01-19,17.0777218277922
2013-01-20,17.2859446030236
2013-01-21,16.9935513273328
2013-01-22,17.0814069397636
2013-01-23,17.1285438850182
2013-01-24,17.1214527159814
